"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-03-31,699,"Routt","CO","Steamboat Springs",1016,412900,0.00218446601941748,0.0125061304561059,0.0888713080168776,0.056491659456809,-0.0199145288851849,"2008-02","2008-Q1",589400,-0.299457074991517,"2006-06"
2017-03-31,2884,"Assumption","LA",,1017,135400,0.0112023898431665,0.0242057488653555,0.0936995153473344,,,"2017-03","2017-Q1",135400,0,"2017-03"
2017-03-31,2357,"Itawamba","MS","Tupelo",1018,100600,0.00299102691924227,0.006,0.0424870466321244,0.0136640058478787,0.0343019742318611,"2015-09","2015-Q3",102300,-0.0166177908113392,"2015-08"
2017-03-31,1398,"Starke","IN",,1019,94600,-0.00630252100840336,-0.0156087408949011,-0.0217166494312306,0.0185352599691098,-0.00740588668447895,"2006-03","2006-Q1",106100,-0.108388312912347,"2004-02"
2017-03-31,1427,"Teller","CO","Colorado Springs",1020,245000,-0.00284900284900285,0.00245499181669394,0.0759771629336847,0.0566487120926629,0.0201449198356298,"2017-01","2017-Q1",245900,-0.00366002440016267,"2017-01"
2017-03-31,1517,"Aransas","TX","Corpus Christi",1021,191200,-0.00829875518672199,-0.0164609053497942,0.0610432852386237,0.0453117315781553,,"2016-12","2016-Q4",194400,-0.0164609053497942,"2016-10"
2017-03-31,2277,"Franklin","IN",,1022,123200,0.00818330605564648,0.0275229357798165,0.00489396411092985,0.0103805309983054,0.0019692129179778,"2005-11","2005-Q4",133500,-0.0771535580524345,"2004-10"
2017-03-31,1001,"Elbert","CO","Denver",1023,445100,0.00587570621468926,0.0296090677770067,0.116378229245046,0.101576588606816,0.0350130438629506,"2017-03","2017-Q1",445100,0,"2017-03"
2017-03-31,3117,"Plaquemines","LA","New Orleans",1024,255300,0.00829383886255924,0.0445990180032733,0.0863829787234043,0.031998413970574,0.0212922305504684,"2017-03","2017-Q1",255300,0,"2017-03"
2017-03-31,768,"Union","LA","Monroe",1025,131400,0.00152439024390244,0.0313971742543171,0.0895522388059701,,,"2017-03","2017-Q1",131400,0,"2017-03"
2017-03-31,605,"Logan","CO","Sterling",1026,126100,0.00238473767885533,0.0047808764940239,0.0136655948553055,0.0521441537274334,0.0267955384137659,"2017-03","2017-Q1",126100,0,"2017-03"
2017-03-31,2308,"Grainger","TN","Knoxville",1027,130700,0,0.028324154209284,0.126724137931034,0.0522846334915543,0.0172994902032122,"2017-03","2017-Q1",130700,0,"2017-03"
2017-03-31,1036,"George","MS",,1028,127400,-0.00234925606891151,-0.00856031128404669,-0.0207532667179093,0.000157059847547103,0.018848109791884,"2009-06","2009-Q2",133200,-0.0435435435435435,"2009-04"
2017-03-31,3162,"Fairfax City","VA","Washington",1029,496600,0.000604473100947008,-0.00699860027994401,0.0483428330166772,0.0348138925928372,0.000727834646321979,"2016-12","2016-Q4",500100,-0.00699860027994401,"2016-09"
2017-03-31,1123,"Jerome","ID","Twin Falls",1030,134900,0.00897531787584144,0.0181132075471698,0.0321346595256312,0.0441345848226629,-0.0154947744300283,"2006-10","2006-Q4",164200,-0.178440925700365,
2017-03-31,2936,"Hood River","OR","Hood River",1031,413600,0.0172159370388588,0.0556406329760082,0.216828478964401,0.0659754695969945,0.0241799679140806,"2017-03","2017-Q1",413600,0,"2017-03"
2017-03-31,623,"Macon","TN","Nashville",1032,100900,-0.00099009900990099,0.000992063492063492,0.0654699049630412,0.0512202640060213,0.0192307354216537,"2017-02","2017-Q1",101000,-0.00099009900990099,"2017-02"
2017-03-31,1433,"Tippah","MS",,1033,100500,0.00099601593625498,0.0131048387096774,0.0457856399583767,0.0104702633904348,,"2017-03","2017-Q1",100500,0,"2017-03"
2017-03-31,2941,"Hutchinson","TX","Borger",1034,74900,0.0107962213225371,0.0504908835904628,0.12125748502994,0.00905249150264442,,"2017-03","2017-Q1",74900,0,"2017-03"
2017-03-31,2096,"Willacy","TX","Raymondville",1035,60200,0.00166389351081531,0.0117647058823529,0.0807899461400359,0.0186027148695305,,"2017-03","2017-Q1",60200,0,"2017-03"
2017-03-31,2273,"Franklin","GA",,1036,118400,0.00424088210347752,0.0395083406496927,0.0872359963269054,0.058985438179495,-0.00861453792636857,"2008-03","2008-Q1",134900,-0.122312824314307,"2005-04"
2017-03-31,2963,"Meriwether","GA","Atlanta",1037,67300,0,0.0150829562594268,0.046656298600311,0.0672735806080607,0.00921725985434252,"2008-05","2008-Q2",79800,-0.156641604010025,"2007-08"
2017-03-31,1739,"Grenada","MS","Grenada",1038,95500,-0.0124095139607032,-0.0402010050251256,-0.0083073727933541,-0.00434080055874086,0.0156054126946503,"2009-10","2009-Q4",103500,-0.0772946859903382,"2009-03"
2017-03-31,2423,"McDuffie","GA","Augusta",1039,72800,0.0181818181818182,0.0520231213872832,0.00691562932226833,0.0267439207501945,-0.0178869328298146,"2007-04","2007-Q2",87200,-0.165137614678899,"2004-12"
2017-03-31,1266,"Newton","MS",,1040,102200,0,0,0.0407331975560081,0.0100826844158752,0.0329532008340265,"2017-03","2017-Q1",102200,0,"2017-03"
2017-03-31,2707,"Goochland","VA","Richmond",1041,315200,0.00510204081632653,0.0217179902755267,0.134220942785175,0.0394960702266114,0.00224836730530242,"2008-04","2008-Q2",330600,-0.0465819721718088,"2007-10"
2017-03-31,264,"Owen","IN","Bloomington",1042,94300,0.00533049040511727,0.0328587075575027,0.0607424071991001,0.0334377963890196,0.0117541004719992,"2005-09","2005-Q3",98100,-0.0387359836901121,"2004-09"
2017-03-31,2564,"Sullivan","IN","Terre Haute",1043,64500,0.0109717868338558,0.0369774919614148,0.0696517412935323,0.00599790496853836,-0.00438832246240906,"2005-11","2005-Q4",84600,-0.23758865248227,
2017-03-31,1578,"Calhoun","TX","Port Lavaca",1044,124500,0.0130187144019528,0.0375,0.0695876288659794,0.00571932731930014,,"2014-09","2014-Q3",125800,-0.0103338632750397,"2014-08"
2017-03-31,763,"Union","GA",,1045,179000,0.00167879127028539,0.0112994350282486,0.0610551274451689,0.0425994304288546,-0.0177004937203551,"2006-10","2006-Q4",220400,-0.187840290381125,"2003-09"
2017-03-31,75,"Jay","IN",,1046,71800,-0.00277777777777778,-0.00139082058414465,0.0227920227920228,0.0461500122018479,-0.00124491529775006,"2006-01","2006-Q1",86000,-0.165116279069767,"2001-07"
